Key*,LULC,rmax,rmaxSD,K,KSD,TOF
499,ASIA_Subtropical dry forest_Open forest evergreen needle leaf,0.32,0.29,80,13,0
500,ASIA_Subtropical dry forest_Open forest deciduous broad leaf,0,0,2,1,1
501,ASIA_Subtropical dry forest_Open forest undefined,0.31,0.28,83,13,0
502,ASIA_Subtropical dry forest_Oceans seas,0,0,22,25,1
503,ASIA_Subtropical steppe_No Data,0,0,1,1,1
504,ASIA_Subtropical steppe_Shrubs,2,1.8,7,8,0
505,ASIA_Subtropical steppe_Herbaceous vegetation,0,0,2,3,1
506,ASIA_Subtropical steppe_Agriculture,0,0,2,2,1
507,ASIA_Subtropical steppe_Urban built up,0,0,2,2,1
508,ASIA_Subtropical steppe_Bare sparse vegetation,0,0,1,0,1
